Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
PHLE;P1;Control;T2;-1;Broken;23/08/2006;01/04/2008;;;23/10/2007;17/03/2007;F;;;;;;;;;;;;;;;;;385;48;8;0.833333333;64.16666667;733;48;16;0.666666667;244.3333333;140;131;42;9;0.785714286;28.07142857;378;3535;275;96;0.650909091;1234.036364;170;70;105;26
PHLE;P1;Control;T3;-1;Broken;23/08/2006;01/03/2008;;;26/01/2008;03/04/2007;F;;;;;;;;;;;;;;;;;328;50;11;0.78;72.16;749;48;21;0.5625;327.6875;307;332;37;9;0.756756757;80.75675676;384;3549;176;117;0.335227273;2359.278409;149;95;27;22
PHLE;P1;Control;T4;-1;Harvest;23/08/2006;07/04/2008;;;;;A;381;1063;280;37;0.867857143;140.4678571;108;110;218;439;300;92;0.693333333;134.6266667;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T1;-1;broken;23/08/2006;07/04/2008;;;06/10/2007;01/04/2007;F;;;;;;;;;;;;;;;;;460;50;8;0.84;73.6;1008;49;23;0.530612245;473.1428571;265;164;46;11;0.760869565;39.2173913;414;4626;225;161;0.284444444;3310.16;182;128;43;33
PHLE;P1;Control;T1;1;broken;;05/06/2008;;;08/09/2007;23/09/2006;F;;;;;;;;;;;;;;;;;563;50;9;0.82;101.34;988;49;18;0.632653061;362.9387755;115;193;39;6;0.846153846;29.69230769;451;4196;218;142;0.348623853;2733.174312;181;116;37;26
PHLE;P1;Control;T3;1;Broken;;26/01/2008;;;26/01/2008;17/03/2007;F;;;;;;;;;;;;;;;;;342;50;11;0.78;75.24;901;47;17;0.638297872;325.893617;155;189;40;12;0.7;56.7;422;3550;156;97;0.378205128;2207.371795;128;76;28;21
PHLE;P1;Control;T4;1;Broken;;;;;23/10/2007;03/04/2007;F;;;;;;;;;;;;;;;;;338;48;9;0.8125;63.375;854;49;21;0.571428571;366;222;167;27;7;0.740740741;43.2962963;384;3788;170;116;0.317647059;2584.752941;140;96;30;20
PHLE;P1;Control;T5;1;Harvest;;14/05/2008;;;;;A;332;872;211;42;0.800947867;173.5734597;96;95;191;381;205;88;0.570731707;163.5512195;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;1;Broken;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T1;1;Broken;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
